title,tconst
"Black Cauldron, The (1985)",tt0088814
L.A. Story (1991),tt0102250
"Sting, The (1973)",tt0070735
"Jerk, The (1979)",tt0079367
Weekend at Bernie's (1989),tt0098627
Never Cry Wolf (1983),tt0086005
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",
Starship Troopers (1997),tt0120201
Waterworld (1995),tt0114898
"Man with Two Brains, The (1983)",tt0085894
"Computer Wore Tennis Shoes, The (1970)",
Condorman (1981),tt0082199
Abbott and Costello Meet Frankenstein (1948),
Darby O'Gill and the Little People (1959),tt0052722
"Far Off Place, A (1993)",tt0106868
Flight of the Navigator (1986),tt0091059
"Gnome-Mobile, The (1967)",tt0061715
"Happiest Millionaire, The (1967)",tt0061749
Half Baked (1998),tt0120693
Billy Madison (1995),tt0112508
American Pie (1999),tt0163651
Mommie Dearest (1981),tt0082766
"Blair Witch Project, The (1999)",tt0185937
Kids in the Hall: Brain Candy (1996),tt0116768
"Good Morning, Vietnam (1987)",tt0093105
Dumb & Dumber (1994),
Blue Velvet (1986),tt0090756
Hoop Dreams (1994),tt0110057
Immortal Beloved (1994),tt0110116
This Is Spinal Tap (1984),tt0088258
"Muppet Movie, The (1979)",tt0079588
Fatal Attraction (1987),tt0093010
Pushing Tin (1999),tt0120797
Holy Man (1998),tt0120701
Heavy (1995),tt0113280
Muriel's Wedding (1994),tt0110598
Almost Heroes (1998),tt0119053
Orgazmo (1997),tt0124819
Sweet and Lowdown (1999),tt0158371
Superstar (1999),tt0167427
"Nutty Professor, The (1996)",tt0117218
"Adventures of Sebastian Cole, The (1998)",tt0168449
"Waterboy, The (1998)",tt0120484
Vegas Vacation (1997),tt0120434
Deuce Bigalow: Male Gigolo (1999),tt0205000
Schizopolis (1996),tt0117561
Dave (1993),tt0106673
Dazed and Confused (1993),tt0106677
Breakfast of Champions (1999),tt0120618
Dream With the Fishes (1997),
Inventing the Abbotts (1997),tt0119381
Mumford (1999),tt0140397
Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),
Angels and Insects (1995),tt0112365
Black Sheep (1996),tt0115697
Fly Away Home (1996),tt0116329
Kalifornia (1993),tt0107302
Analyze This (1999),tt0122933
Bean (1997),tt0118689
Swing Kids (1993),tt0108265
"Truth About Cats & Dogs, The (1996)",tt0117979
Dog Day Afternoon (1975),tt0072890
Larger Than Life (1996),tt0116823
Almost Famous (2000),tt0181875
Father of the Bride (1950),tt0042451
Quatermass and the Pit (1967),tt0062168
"Man Who Would Be King, The (1975)",tt0073341
2 Days in the Valley (1996),tt0115438
Dick Tracy (1990),tt0099422
Scary Movie (2000),tt0175142
Audrey Rose (1977),tt0075704
"Great Escape, The (1963)",tt0057115
Superman II (1980),tt0081573
Quest for Fire (1981),
Ladyhawke (1985),tt0089457
GoldenEye (1995),tt0113189
Medicine Man (1992),tt0104839
True Grit (1969),tt0065126
Black Beauty (1994),tt0109279
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",
Young Sherlock Holmes (1985),tt0090357
"Saint, The (1997)",tt0120053
Rising Sun (1993),tt0107969
Around the World in 80 Days (1956),tt0048960
"Indian in the Cupboard, The (1995)",tt0113419
Titan A.E. (2000),tt0120913
"Emerald Forest, The (1985)",tt0089087
"Big Blue, The (Le Grand Bleu) (1988)",
Logan's Run (1976),tt0074812
Conan the Barbarian (1982),tt0082198
Forever Young (1992),tt0104291
"Crimson Pirate, The (1952)",tt0044517
Mission to Mars (2000),tt0183523
"Deer Hunter, The (1978)",tt0077416
10 Things I Hate About You (1999),tt0147800
"400 Blows, The (Les Quatre cents coups) (1959)",
Spaceballs (1987),tt0094012
Broadcast News (1987),tt0092699
Big Daddy (1999),tt0142342
Children of Paradise (Les enfants du paradis) (1945),
Halloween (1978),tt0077651
Bringing Out the Dead (1999),tt0163988
She's All That (1999),tt0160862
"Birdcage, The (1996)",tt0115685
What Lies Beneath (2000),tt0161081
Arlington Road (1999),tt0137363
EDtv (1999),
"Bachelor, The (1999)",tt0120596
"Bone Collector, The (1999)",tt0145681
"Haunting, The (1999)",tt0171363
Congo (1995),tt0112715
"Arrival, The (1996)",tt0115571
Runaway Bride (1999),tt0163187
Never Been Kissed (1999),tt0151738
Palmetto (1998),tt0120782
Murder at 1600 (1997),tt0119731
Lord of the Flies (1963),tt0057261
American Psycho (2000),tt0144084
Just Cause (1995),tt0113501
Ransom (1996),tt0117438
Striptease (1996),tt0117765
Instinct (1999),tt0128278
Bulworth (1998),tt0118798
"Thomas Crown Affair, The (1999)",tt0155267
"Big Kahuna, The (2000)",
"Thomas Crown Affair, The (1968)",tt0063688
"Perfect Murder, A (1998)",tt0120787
Air Force One (1997),tt0118571
Sneakers (1992),tt0105435
Stigmata (1999),tt0145531
Stir of Echoes (1999),tt0164181
Big Momma's House (2000),tt0208003
Mrs. Doubtfire (1993),tt0107614
"Cradle Will Rock, The (1999)",
One True Thing (1998),tt0120776
Rush Hour (1998),tt0120812
Seven Years in Tibet (1997),tt0120102
"Game, The (1997)",tt0119174
Selena (1997),tt0120094
Flubber (1997),tt0119137
"Civil Action, A (1998)",tt0120633
From Dusk Till Dawn (1996),tt0116367
I Know What You Did Last Summer (1997),tt0119345
"Devil's Advocate, The (1997)",tt0118971
Jakob the Liar (1999),tt0120716
Very Bad Things (1998),tt0124198
Psycho (1998),tt0155975
"Story of Us, The (1999)",tt0160916
Tombstone (1993),tt0108358
Primal Fear (1996),tt0117381
Singles (1992),tt0105415
Entrapment (1999),tt0137494
"Newton Boys, The (1998)",tt0120769
Wild Things (1998),tt0120890
"Simple Plan, A (1998)",tt0120324
"Prince of Egypt, The (1998)",tt0120794
House Party (1990),tt0099800
Basic Instinct (1992),tt0103772
"Rainmaker, The (1997)",tt0119978
Baby Geniuses (1999),tt0118665
"Love Letter, The (1999)",tt0166252
Wild Wild West (1999),tt0120891
"Mod Squad, The (1999)",tt0120757
Lake Placid (1999),tt0139414
Doctor Dolittle (1998),tt0118998
"Bell, Book and Candle (1958)",
Superman IV: The Quest for Peace (1987),tt0094074
Inspector Gadget (1999),tt0141369
Deep Blue Sea (1999),tt0149261
Mickey Blue Eyes (1999),tt0130121
Dudley Do-Right (1999),tt0160236
"Iron Giant, The (1999)",tt0129167
I Saw What You Did (1965),tt0059297
Desperately Seeking Susan (1985),tt0089017
Drive Me Crazy (1999),tt0164114
Jack Frost (1998),tt0141109
"Best Man, The (1999)",tt0168501
"Grifters, The (1990)",tt0099703
Village of the Damned (1960),tt0054443
Children of the Damned (1963),
"Invisible Man, The (1933)",tt0024184
"Cell, The (2000)",tt0209958
My Left Foot (1989),
Solaris (Solyaris) (1972),
"Art of War, The (2000)",tt0160009
Destination Moon (1950),tt0042393
Sphere (1998),tt0120184
Devil in a Blue Dress (1995),tt0112857
Waking the Dead (1999),
Shallow Grave (1994),tt0111149
Heavenly Creatures (1994),tt0110005
Angel Baby (1995),tt0112362
"Big Sleep, The (1946)",tt0038355
"Thing From Another World, The (1951)",
It Came from Outer Space (1953),tt0045920
It Came from Beneath the Sea (1955),tt0048215
Invasion of the Body Snatchers (1956),tt0049366
"Mole People, The (1956)",tt0049516
Swamp Thing (1982),tt0084745
"Omega Man, The (1971)",tt0067525
2010 (1984),
"Navigator: A Mediaeval Odyssey, The (1988)",tt0095709
Strange Days (1995),tt0114558
Outrageous Fortune (1987),tt0093690
"War, The (1994)",tt0111667
"Brother from Another Planet, The (1984)",tt0087004
Phantasm (1979),tt0079714
Moonraker (1979),tt0079574
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),
Hoodlum (1997),tt0119311
"Long Walk Home, The (1990)",tt0100046
"Limey, The (1999)",tt0165854
"Hidden, The (1987)",tt0093185
"New Age, The (1994)",tt0110649
"Professional, The (a.k.a. Leon: The Professional) (1994)",
In & Out (1997),tt0119360
"Stepford Wives, The (1975)",tt0073747
Laura (1944),tt0037008
Farewell My Concubine (1993),
"Thousand Acres, A (1997)",tt0120323
Bicentennial Man (1999),tt0182789
Them! (1954),tt0047573
"Thing, The (1982)",tt0084787
Puppet Master III: Toulon's Revenge (1991),tt0102728
Center Stage (2000),tt0210616
Pitch Black (2000),tt0134847
"Clockwork Orange, A (1971)",tt0066921
"Murder, My Sweet (1944)",tt0037101
Screamers (1995),tt0114367
Lifeforce (1985),tt0089489
Metropolis (1926),
Space Cowboys (2000),tt0186566
Heavy Metal (1981),tt0082509
Sleeper (1973),tt0070707
Meteor (1979),tt0079550
Westworld (1973),tt0070909
"Fly, The (1958)",tt0051622
"Fly, The (1986)",tt0091064
Night of the Creeps (1986),tt0091630
Escape from the Planet of the Apes (1971),tt0067065
Forbidden Planet (1956),tt0049223
Mulholland Falls (1996),tt0117107
Night of the Comet (1984),tt0087799
"Lock, Stock & Two Smoking Barrels (1998)",
What Happened Was... (1994),tt0111689
Wing Commander (1999),tt0131646
Dark City (1998),tt0118929
Fantastic Voyage (1966),tt0060397
"Lord of the Rings, The (1978)",tt0077869
Nineteen Eighty-Four (1984),tt0087803
Robocop (1987),
For Your Eyes Only (1981),tt0082398
All Dogs Go to Heaven (1989),tt0096787
Hocus Pocus (1993),tt0107120
Thunderball (1965),tt0059800
"Sex, Lies, and Videotape (1989)",tt0098724
Circle of Friends (1995),tt0112679
Casper (1995),tt0112642
Supergirl (1984),tt0088206
"Secret of NIMH, The (1982)",tt0084649
Teenage Mutant Ninja Turtles III (1993),tt0108308
Barb Wire (1996),tt0115624
Drop Dead Gorgeous (1999),tt0157503
Tango (1998),tt0120274
Queen Margot (La Reine Margot) (1994),
Eat Drink Man Woman (1994),
"American Tail, An (1986)",
"American Tail: Fievel Goes West, An (1991)",
First Knight (1995),tt0113071
Legend (1985),tt0089469
Pretty in Pink (1986),tt0091790
Cape Fear (1962),tt0055824
Highlander: Endgame (2000),tt0144964
Highlander (1986),tt0091203
Parenthood (1989),tt0098067
"Swan Princess, The (1994)",tt0111333
"Avengers, The (1998)",tt0118661
"Muppet Christmas Carol, The (1992)",tt0104940
101 Dalmatians (1961),
"Rescuers Down Under, The (1990)",tt0100477
Universal Soldier: The Return (1999),tt0176269
"Color Purple, The (1985)",tt0088939
"Great Muppet Caper, The (1981)",tt0082474
"Muppets Take Manhattan, The (1984)",tt0087755
Sesame Street Presents Follow That Bird (1985),
Tank Girl (1995),tt0114614
101 Dalmatians (1996),tt0115433
"Crow: City of Angels, The (1996)",tt0115986
D3: The Mighty Ducks (1996),tt0116000
Highlander III: The Sorcerer (1994),tt0110027
Deep Impact (1998),tt0120647
Little Women (1994),tt0110367
"Little Princess, A (1995)",tt0113670
Say Anything... (1989),tt0098258
"Parent Trap, The (1961)",tt0055277
Godzilla (1998),tt0120685
Ordinary People (1980),tt0081283
Othello (1995),tt0114057
Toys (1992),tt0105629
Bird on a Wire (1990),tt0099141
On Her Majesty's Secret Service (1969),tt0064757
"Spy Who Loved Me, The (1977)",tt0076752
"Last Emperor, The (1987)",tt0093389
"Man with the Golden Gun, The (1974)",tt0071807
Rambo: First Blood Part II (1985),tt0089880
Rambo III (1988),tt0095956
Kull the Conqueror (1997),tt0119484
Mars Attacks! (1996),tt0116996
"Fox and the Hound, The (1981)",tt0082406
Poison Ivy II (1995),
Mortal Kombat (1995),tt0113855
Sid and Nancy (1986),tt0091954
"Adventures of Robin Hood, The (1938)",tt0029843
"Karate Kid, Part II, The (1986)",
"Karate Kid III, The (1989)",
Drop Dead Fred (1991),tt0101775
Batman & Robin (1997),tt0118688
Anaconda (1997),tt0118615
Aladdin and the King of Thieves (1996),tt0115491
Serial Mom (1994),tt0111127
Hot Shots! Part Deux (1993),tt0107144
Red Sonja (1985),tt0089893
Freaky Friday (1977),
Home Alone 2: Lost in New York (1992),tt0104431
Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),
"Aristocats, The (1970)",
Super Mario Bros. (1993),tt0108255
Howard the Duck (1986),tt0091225
In the Name of the Father (1993),tt0107207
White Squall (1996),tt0118158
Dangerous Liaisons (1988),tt0094947
Lolita (1997),tt0119558
Plunkett & MaCleane (1999),
"Running Man, The (1987)",tt0093894
Last Action Hero (1993),tt0107362
Spawn (1997),tt0118475
3 Ninjas: High Noon On Mega Mountain (1998),
Best in Show (2000),tt0218839
"Crying Game, The (1992)",tt0104036
Menace II Society (1993),tt0107554
D2: The Mighty Ducks (1994),tt0109520
Glory (1989),tt0097441
"Creature From the Black Lagoon, The (1954)",
"American Werewolf in London, An (1981)",
Licence to Kill (1989),tt0097742
Live and Let Die (1973),tt0070328
"Amityville Horror, The (1979)",tt0078767
"Shining, The (1980)",tt0081505
"Mummy, The (1932)",tt0023245
"Mummy's Tomb, The (1942)",tt0035096
Scream (1996),tt0117571
"Blob, The (1958)",tt0051418
Roger & Me (1989),tt0098213
Dracula (1931),tt0021814
House of Dracula (1945),tt0037793
House of Frankenstein (1944),tt0036931
"Out-of-Towners, The (1999)",tt0129280
Blues Brothers 2000 (1998),tt0118747
Frankenstein (1931),tt0021884
Son of Frankenstein (1939),tt0031951
Bride of Frankenstein (1935),tt0026138
Son of Dracula (1943),tt0036376
"Omen, The (1976)",tt0075005
Rosemary's Baby (1968),tt0063522
Tales from the Hood (1995),tt0114609
Star Trek V: The Final Frontier (1989),tt0098382
Tales from the Crypt Presents: Bordello of Blood (1996),
Kingpin (1996),tt0116778
Outside Providence (1999),tt0125971
Beverly Hills Cop III (1994),tt0109254
Loaded Weapon 1 (1993),tt0107659
I Still Know What You Did Last Summer (1998),tt0130018
Dirty Work (1998),tt0120654
Friday the 13th (1980),tt0080761
"Relic, The (1997)",tt0120004
Pit and the Pendulum (1961),
Damien: Omen II (1978),tt0077394
"World Is Not Enough, The (1999)",tt0143145
Blue Streak (1999),tt0181316
"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)",
Screwed (2000),tt0156323
Poltergeist (1982),tt0084516
Office Space (1999),tt0151804
King Kong (1976),tt0074751
"Night at the Roxbury, A (1998)",tt0120770
Gremlins 2: The New Batch (1990),tt0099700
Dr. No (1962),tt0055928
Scream 2 (1997),tt0120082
"View to a Kill, A (1985)",tt0090264
"Me, Myself and Irene (2000)",
Psycho (1960),tt0054215
"Next Best Thing, The (2000)",tt0156841
Phantoms (1998),tt0119891
Tall Tale (1994),
Scream 3 (2000),tt0134084
"Apostle, The (1997)",tt0118632
Booty Call (1997),tt0118750
"Brady Bunch Movie, The (1995)",tt0112572
"Princess Mononoke, The (Mononoke Hime) (1997)",
Little Nemo: Adventures in Slumberland (1992),
"Messenger: The Story of Joan of Arc, The (1999)",
Stop! Or My Mom Will Shoot (1992),tt0105477
House Party 2 (1991),tt0102065
"Ninth Gate, The (2000)",
Fallen (1998),tt0119099
Bad Boys (1995),tt0112442
"Man Who Knew Too Little, The (1997)",tt0120483
Children of the Corn (1984),tt0087050
Weird Science (1985),tt0090305
Beavis and Butt-head Do America (1996),
Creepshow 2 (1987),tt0092796
"Nightmare on Elm Street, A (1984)",tt0087800
"Very Brady Sequel, A (1996)",tt0118073
Grumpy Old Men (1993),tt0107050
Some Folks Call It a Sling Blade (1993),
Stuart Saves His Family (1995),tt0114571
Judge Dredd (1995),tt0113492
"Gods Must Be Crazy, The (1980)",tt0080801
Fierce Creatures (1997),tt0119115
"Way of the Gun, The (2000)",tt0202677
Suicide Kings (1997),tt0120241
Junior (1994),tt0110216
"Net, The (1995)",tt0113957
Attack of the Killer Tomatoes! (1980),
Dante's Peak (1997),tt0118928
High School High (1996),tt0116531
Notting Hill (1999),tt0125439
Some Like It Hot (1959),tt0053291
My Blue Heaven (1990),tt0100212
"Vie est belle, La (Life is Rosey) (1987)",
Escape from L.A. (1996),tt0116225
"Distinguished Gentleman, The (1992)",tt0104114
Dogma (1999),tt0120655
I Married A Strange Person (1997),
Eraser (1996),tt0116213
Cabin Boy (1994),tt0109361
"Seventh Sign, The (1988)",tt0096073
Nothing But Trouble (1991),tt0102558
Freeway (1996),tt0116361
Daylight (1996),tt0116040
"Frighteners, The (1996)",tt0116365
"Lawnmower Man, The (1992)",tt0104692
Fast Times at Ridgemont High (1982),tt0083929
Clue (1985),tt0088930
Back to School (1986),tt0090685
"Long Kiss Goodnight, The (1996)",tt0116908
Puppet Master (1989),tt0098143
Puppet Master II (1990),tt0100438
Airplane II: The Sequel (1982),tt0083530
Child's Play (1988),tt0094862
European Vacation (1985),
Bio-Dome (1996),tt0115683
"Transformers: The Movie, The (1986)",tt0092106
Encino Man (1992),tt0104187
Gung Ho (1986),tt0090441
In the Army Now (1994),tt0110123
Things to Do in Denver when You're Dead (1995),
Death Becomes Her (1992),tt0104070
Rumble in the Bronx (1995),
"Crush, The (1993)",tt0106627
Full Metal Jacket (1987),tt0093058
Hellraiser (1987),tt0093177
Three Amigos! (1986),tt0092086
Touch of Evil (1958),tt0052311
Nikita (La Femme Nikita) (1990),
...And Justice for All (1979),
No Way Out (1987),tt0093640
"Thin Blue Line, The (1988)",tt0096257
"Odd Couple, The (1968)",tt0063374
Double Indemnity (1944),tt0036775
Purple Noon (1960),
Lifeboat (1944),tt0037017
"Manchurian Candidate, The (1962)",tt0056218
Brazil (1985),tt0088846
Superman III (1983),tt0086393
Zero Effect (1998),tt0120906
"Contender, The (2000)",tt0208874
House (1986),
House II: The Second Story (1987),tt0093220
Mystery Train (1989),tt0097940
Barbarella (1968),tt0062711
"Killing, The (1956)",tt0049406
Universal Soldier (1992),tt0105698
Midnight Run (1988),tt0095631
Party Girl (1995),tt0114095
Vertigo (1958),tt0052357
Small Time Crooks (2000),tt0196216
Retroactive (1997),tt0117468
"American President, The (1995)",tt0112346
Class (1983),tt0085346
Dead Again (1991),tt0101669
Species (1995),tt0114508
Charade (1963),tt0056923
Rope (1948),tt0040746
Marathon Man (1976),tt0074860
"Virgin Suicides, The (1999)",tt0159097
Terms of Endearment (1983),tt0086425
Soldier (1998),tt0120157
Blame It on Rio (1984),tt0086973
Jaws 2 (1978),tt0077766
Seven Days in May (1964),tt0058576
Firestarter (1984),tt0087262
Repo Man (1984),tt0087995
Rocky II (1979),tt0079817
Body Heat (1981),tt0082089
Carlito's Way (1993),tt0106519
Rocky III (1982),tt0084602
Rocky IV (1985),tt0089927
To Die For (1995),tt0114681
Extremities (1986),tt0091024
His Girl Friday (1940),tt0032599
Romeo Is Bleeding (1993),tt0107983
Big Trouble in Little China (1986),tt0090728
Badlands (1973),tt0069762
"Long Goodbye, The (1973)",tt0070334
"Third Man, The (1949)",tt0041959
"Killer, The (Die xue shuang xiong) (1989)",
F/X (1986),tt0089118
Once Upon a Time in America (1984),tt0087843
"War Room, The (1993)",tt0108515
For All Mankind (1989),tt0097372
Flirting With Disaster (1996),
Dreamscape (1984),tt0087175
Until the End of the World (Bis ans Ende der Welt) (1991),
Crimes and Misdemeanors (1989),tt0097123
"Faraway, So Close (In Weiter Ferne, So Nah!) (1993)",
Mad Dog Time (1996),tt0116953
"Dead Zone, The (1983)",tt0085407
Maximum Overdrive (1986),tt0091499
Do the Right Thing (1989),tt0097216
Bull Durham (1988),tt0094812
Who's Afraid of Virginia Woolf? (1966),tt0061184
"Quick and the Dead, The (1995)",tt0114214
Sixteen Candles (1984),tt0088128
Kids (1995),tt0113540
History of the World: Part I (1981),tt0082517
Working Girl (1988),tt0096463
Frances (1982),tt0083967
Nine 1/2 Weeks (1986),tt0091635
Blue Sky (1994),tt0109306
Risky Business (1983),tt0086200
Reality Bites (1994),tt0110950
"Big Chill, The (1983)",tt0085244
Everyone Says I Love You (1996),tt0116242
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",
Stripes (1981),tt0083131
Muppets From Space (1999),
Canadian Bacon (1994),
Small Soldiers (1998),tt0122718
Operation Dumbo Drop (1995),tt0114048
Eraserhead (1977),tt0074486
She's Gotta Have It (1986),tt0091939
School Daze (1988),tt0096054
Multiplicity (1996),tt0117108
Jungle Fever (1991),tt0102175
"Tigger Movie, The (2000)",tt0220099
Forces of Nature (1999),tt0141098
"Babysitter, The (1995)",tt0112438
"Honey, I Blew Up the Kid (1992)",tt0104437
"Parent Trap, The (1998)",tt0120783
"Craft, The (1996)",tt0115963
My Life (1993),tt0107630
North Dallas Forty (1979),tt0079640
Hoosiers (1986),tt0091217
Mercury Rising (1998),tt0120749
Grumpier Old Men (1995),tt0113228
Father of the Bride Part II (1995),tt0113041
She's the One (1996),tt0117628
Red Dawn (1984),tt0087985
Exit to Eden (1994),tt0109758
French Kiss (1995),tt0113117
Forget Paris (1995),tt0113097
St. Elmo's Fire (1985),tt0090060
Space Jam (1996),tt0117705
"Specialist, The (1994)",tt0111255
How Stella Got Her Groove Back (1998),tt0120703
Heathers (1989),
I.Q. (1994),tt0110099
Honeymoon in Vegas (1992),tt0104438
Pink Floyd - The Wall (1982),
Diner (1982),tt0083833
Extreme Measures (1996),tt0116259
"Substitute, The (1996)",tt0117774
Meatballs (1979),tt0079540
"Elephant Man, The (1980)",tt0080678
Major Payne (1994),
Something to Talk About (1995),tt0114496
Married to the Mob (1988),tt0095593
Lawn Dogs (1997),tt0119506
Airheads (1994),tt0109068
Bad Girls (1994),tt0109198
Hope Floats (1998),tt0119313
Milk Money (1994),tt0110516
Miami Rhapsody (1995),tt0113808
Oxygen (1999),tt0160620
Grease 2 (1982),tt0084021
Fools Rush In (1997),tt0119141
Tin Cup (1996),tt0117918
Random Hearts (1999),tt0156934
Angels in the Outfield (1994),tt0109127
"Client, The (1994)",tt0109446
Blue Chips (1994),tt0109305
Bonfire of the Vanities (1990),
First Blood (1982),tt0083944
Against All Odds (1984),tt0086859
Poison Ivy (1992),tt0105156
One Crazy Summer (1986),tt0091680
It Takes Two (1995),tt0113442
About Last Night... (1986),tt0090583
That Old Feeling (1997),tt0120318
My Fellow Americans (1996),tt0117119
"Butcher's Wife, The (1991)",tt0101523
Indecent Proposal (1993),tt0107211
Days of Thunder (1990),tt0099371
City Slickers II: The Legend of Curly's Gold (1994),tt0109439
Heaven Can Wait (1978),tt0077663
It Could Happen to You (1994),tt0110167
Rocky V (1990),tt0100507
Addicted to Love (1997),tt0118556
Pacific Heights (1990),tt0100318
Nothing in Common (1986),tt0091653
Breathless (1983),tt0085276
"Program, The (1993)",tt0107889
"Road to Wellville, The (1994)",tt0111001
Fatal Instinct (1993),tt0106873
"Karate Kid, The (1984)",tt0087538
"Last Picture Show, The (1971)",tt0067328
Speechless (1994),tt0111256
Speed 2: Cruise Control (1997),tt0120179
"Lords of Flatbush, The (1974)",tt0071772
With Honors (1994),tt0111732
Problem Child (1990),tt0100419
When a Man Loves a Woman (1994),tt0111693
Free Willy (1993),tt0106965
For Richer or Poorer (1997),tt0119142
"Flamingo Kid, The (1984)",tt0087265
Two if by Sea (1996),
"Natural, The (1984)",tt0087781
Flashdance (1983),tt0085549
Sommersby (1993),tt0108185
One Fine Day (1996),tt0117247
Homeward Bound II: Lost in San Francisco (1996),tt0116552
Guilty as Sin (1993),tt0107057
Mouse Hunt (1997),
How to Be a Player (1997),tt0119326
Live Nude Girls (1995),tt0113674
Bed of Roses (1996),tt0115644
Sister Act 2: Back in the Habit (1993),tt0108147
Varsity Blues (1999),tt0139699
"Blue Lagoon, The (1980)",tt0080453
"Fabulous Baker Boys, The (1989)",tt0097322
Flatliners (1990),tt0099582
"Pallbearer, The (1996)",tt0117283
Sliver (1993),tt0108162
Porky's II: The Next Day (1983),tt0086129
"Hudsucker Proxy, The (1994)",tt0110074
I'll Do Anything (1994),tt0110097
"Texas Chainsaw Massacre, The (1974)",
George of the Jungle (1997),tt0119190
If Lucy Fell (1996),tt0116606
Porky's Revenge (1985),tt0089826
Threesome (1994),tt0111418
My Tutor (1983),tt0085980
White Men Can't Jump (1992),tt0105812
Lightning Jack (1994),tt0110353
Ruthless People (1986),tt0091877
Beautiful Girls (1996),tt0115639
Boomerang (1992),tt0103859
Picture Perfect (1997),tt0119896
Easy Money (1983),tt0085470
"Man Without a Face, The (1993)",tt0107501
Single White Female (1992),tt0105414
Soul Man (1986),tt0091991
Mr. Wonderful (1993),tt0107613
"Walk in the Clouds, A (1995)",tt0114887
Down Periscope (1996),tt0116130
Hear My Song (1991),tt0102014
"Asphalt Jungle, The (1950)",tt0042208
Out of the Past (1947),tt0039689
Inherit the Wind (1960),tt0053946
It Happened One Night (1934),tt0025316
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),
Strangers on a Train (1951),tt0044079
Notorious (1946),tt0038787
My Man Godfrey (1936),tt0028010
"Conversation, The (1974)",tt0071360
Bringing Up Baby (1938),tt0029947
"Scout, The (1994)",tt0111094
Blood Simple (1984),tt0086979
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",
"Haunting, The (1963)",tt0057129
"Brothers McMullen, The (1995)",tt0112585
Funny Face (1957),tt0050419
Gaslight (1944),tt0036855
Auntie Mame (1958),tt0051383
Vanya on 42nd Street (1994),tt0111590
Flirt (1995),tt0113080
Rebecca (1940),tt0032976
Apocalypse Now (1979),tt0078788
Henry V (1989),tt0097499
Where Eagles Dare (1969),
Betrayed (1988),tt0094731
King of New York (1990),tt0099939
Jagged Edge (1985),tt0089360
"Longest Day, The (1962)",tt0056197
Assault on Precinct 13 (1976),tt0074156
Godzilla (Gojira) (1954),
"Dirty Dozen, The (1967)",tt0061578
Kelly's Heroes (1970),tt0065938
Thunderbolt and Lightfoot (1974),tt0072288
"Old Man and the Sea, The (1958)",tt0052027
"Night to Remember, A (1958)",tt0051994
Avalanche (1978),tt0077189
"Presidio, The (1988)",tt0095897
Executive Decision (1996),tt0116253
"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",
Bamboozled (2000),tt0215545
Requiem for a Dream (2000),tt0180093
Whatever (1998),tt0140688
Love and Basketball (2000),
Secrets & Lies (1996),tt0117589
Wonderland (1997),tt0120529
"School of Flesh, The (L' École de la chair) (1998)",
"Lady Vanishes, The (1938)",tt0030341
"Purple Rose of Cairo, The (1985)",tt0089853
Battling Butler (1926),tt0016630
"General, The (1927)",
"Taming of the Shrew, The (1967)",tt0061407
"Great Dictator, The (1940)",tt0032553
Modern Times (1936),tt0027977
Going My Way (1944),tt0036872
Real Genius (1985),tt0089886
"Little Shop of Horrors, The (1960)",tt0054033
My Favorite Year (1982),tt0084370
"Last Detail, The (1973)",tt0070290
To Catch a Thief (1955),tt0048728
"King in New York, A (1957)",tt0050598
Friday the 13th Part 3: 3D (1982),
To Be or Not to Be (1942),tt0035446
Hang 'em High (1967),
"Raven, The (1963)",tt0057449
Harvey (1950),tt0042546
"Scarlet Letter, The (1926)",tt0017350
"Lady Eve, The (1941)",tt0033804
Sullivan's Travels (1942),
My Man Godfrey (1957),tt0050738
Little Lord Fauntleroy (1936),tt0027893
Barefoot in the Park (1967),tt0061385
"Goodbye Girl, The (1977)",tt0076095
Harold and Maude (1971),tt0067185
Born Yesterday (1950),tt0042276
"Perils of Pauline, The (1947)",tt0039698
Creature Comforts (1990),
Snow Day (2000),tt0184907
Persuasion (1995),tt0114117
Fantasia 2000 (1999),tt0120910
Nutty Professor II: The Klumps (2000),tt0144528
Shower (Xizhao) (1999),
Sliding Doors (1998),tt0120148
Kronos (1973),tt14083392
"English Patient, The (1996)",tt0116209
Network (1976),tt0074958
"Mummy's Hand, The (1940)",tt0032818
"King and I, The (1956)",tt0049408
Belle de jour (1967),tt0061395
"Butcher Boy, The (1998)",
Suspicion (1941),tt0034248
"Birds, The (1963)",tt0056869
Re-Animator (1985),tt0089885
Drugstore Cowboy (1989),tt0097240
And the Band Played On (1993),tt0106273
Patton (1970),tt0066206
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",
"Ghost of Frankenstein, The (1942)",tt0034786
Nashville (1975),tt0073440
"Unbearable Lightness of Being, The (1988)",tt0096332
"Gay Divorcee, The (1934)",tt0025164
"Killing Fields, The (1984)",tt0087553
